"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[cds]] u [[congratulations]] ur [[awarded]] £ cd [[gift]] [[vouchers]] £ [[gift]] [[guaranteed]] freeentry £ wkly [[draw]] xt [[music]] tncs","[[ced]] u [[kudos]] ur [[decorated]] £ cd [[dons]] [[valleys]] £ [[goku]] [[bumpers]] freeentry £ wkly [[entice]] xt [[song]] tncs",0.04275667667388916,0.5645850896835327,1,0,1,244,"Successful"
"usps [[package]] [[delivered]] due [[wrong]] [[delivery]] [[address]] please [[change]] [[correct]] [[delivery]] [[address]] [[following]] [[url]] [[reply]] [[click]] [[link]] [[inquire]]","usps [[modules]] [[implemented]] due [[fallacious]] [[execution]] [[solving]] please [[metamorphosis]] [[true]] [[render]] [[solving]] [[infra]] [[http]] [[replica]] [[opted]] [[correlate]] [[scrutinize]]",0.013668954372406006,0.21726280450820923,1,1,1,472,"Failed"
"[[congratulations]] due covid [[grant]] redeemcontact [[us]] [[via]] [[email]] covidgrantcokegrantcom","[[kudos]] due covid [[don]] redeemcontact [[we]] [[among]] [[inbox]] covidgrantcokegrantcom",0.11052125692367554,0.2764381766319275,1,1,1,99,"Failed"
"[[drop]] [[thirty]] [[pounds]] [[less]] thirty days [[see]] [[try]] [[absolutely]] [[cost]] remedyfrcomindexphpkeydjqpwgdauzcszhrjwbmsgg","[[fell]] [[dozen]] [[books]] [[lesser]] thirty days [[reckon]] [[trying]] [[really]] [[loads]] remedyfrcomindexphpkeydjqpwgdauzcszhrjwbmsgg",0.1816762089729309,0.4651809334754944,1,1,1,270,"Failed"
"otc entire store [[valid]] [[today]] [[voted]] store [[reply]] [[stop]] [[end]]","otc entire store [[fruitful]] [[yesterday]] [[embraced]] store [[interventions]] [[quit]] [[fin]]",0.05498546361923218,0.6394989490509033,1,0,1,231,"Successful"
"frm smsidiymvqit msgnetflix refunding [[remaining]] [[time]] [[claim]] hr smsidiymvqit","frm smsidiymvqit msgnetflix refunding [[vestige]] [[jours]] [[argument]] hr smsidiymvqit",0.13432437181472778,0.32175397872924805,1,1,1,114,"Failed"
"[[urgent]] [[dear]] flpkart [[customer]] [[trying]] [[contact]] last weekends [[draw]] shows wn [[rs]] [[prize]] [[guaranteed]] [[call]] [[claim]] [[code]] [[lucky]] [[valid]] hrs","[[quick]] [[sweetie]] flpkart [[eaters]] [[grappling]] [[ties]] last weekends [[draws]] shows wn [[s]] [[fellowship]] [[sure]] [[convening]] [[say]] [[scrambling]] [[happiest]] [[justifiable]] hrs",0.014292538166046143,0.720788836479187,1,0,1,339,"Successful"
"netflix [[payment]] [[completed]] [[keep]] [[access]] [[service]] [[update]] [[payment]] [[method]] please [[visit]]","netflix [[paycheck]] [[played]] [[garde]] [[joining]] [[serving]] [[contemporary]] [[wages]] [[medio]] please [[ikea]]",0.029570341110229492,0.34720420837402344,1,1,1,276,"Failed"
"todays vodafone [[numbers]] [[ending]] [[selected]] [[receive]] [[rs]] [[award]] [[match]] please [[call]] [[quoting]] [[claim]] [[code]] [[standard]] [[rates]] [[apply]]","todays vodafone [[naming]] [[finalize]] [[took]] [[earned]] [[s]] [[primes]] [[pairs]] please [[convening]] [[commas]] [[requisitions]] [[coding]] [[routines]] [[rhythm]] [[executes]]",0.022515475749969482,0.18327981233596802,1,1,1,429,"Failed"
"great [[news]] [[call]] freefone [[claim]] [[guaranteed]] £ [[cash]] £ [[gift]] speak [[live]] [[operator]]","great [[reporters]] [[drew]] freefone [[requisitions]] [[assuring]] £ [[funding]] £ [[donating]] speak [[alive]] [[harvester]]",0.026212573051452637,0.24761366844177246,1,1,1,324,"Failed"
"[[tax]] [[refund]] � ready [[claimed]] [[access]] [[refund]] follow [[steps]] [[required]] httpbitdoclaimtax","[[dany]] [[comeback]] � ready [[strived]] [[joining]] [[reincarnation]] follow [[footsteps]] [[coerce]] httpbitdoclaimtax",0.06326431035995483,0.5731091499328613,1,0,1,293,"Successful"
"please [[call]] [[customer]] [[service]] [[representative]] freephone ampm [[guaranteed]] £ [[cash]] £ [[prize]]","please [[convening]] [[eaters]] [[serves]] [[portrayal]] freephone ampm [[safe]] £ [[funding]] £ [[awards]]",0.014358758926391602,0.11556941270828247,1,1,1,180,"Failed"
"englishvocabulary ululate mourn loudly shrilly ad unlimited free [[calls]] [[mobile]] try today share wid frnd","englishvocabulary ululate mourn loudly shrilly ad unlimited free [[calling]] [[itinerant]] try today share wid frnd",0.07529187202453613,0.5027166604995728,1,0,1,65,"Successful"
"[[atm]] blockdear [[customer]] due [[system]] [[upgrade]] [[atm]] [[card]] blcked [[reactivate]] [[call]] [[customer]] [[care]] [[help]]","[[abm]] blockdear [[eaters]] due [[schematics]] [[moderne]] [[mta]] [[diagram]] blcked [[reinstating]] [[phoning]] [[client]] [[zorg]] [[supporting]]",0.028066396713256836,0.2544412612915039,1,1,1,285,"Failed"
"[[dear]] [[customer]] pyatm wallet [[booked]] hold [[amount]] please [[complete]] kyc [[contact]] [[customer]] [[care]]","[[pumpkin]] [[diners]] pyatm wallet [[rez]] hold [[moneys]] please [[whole]] kyc [[interacting]] [[eaters]] [[loving]]",0.013466358184814453,0.5636930465698242,1,0,1,198,"Successful"
"usps [[package]] [[arrived]] warehouse could [[delivered]] due [[incomplete]] [[address]] [[information]] please [[confirm]] [[address]] [[link]] please [[reply]] [[exit]] [[text]] [[message]] open [[activate]] [[link]] [[copy]] [[link]] open safari browser","usps [[modules]] [[viens]] warehouse could [[render]] due [[partial]] [[faces]] [[prompts]] please [[vindicate]] [[faces]] [[binds]] please [[solution]] [[output]] [[write]] [[prompts]] open [[empowerment]] [[bind]] [[versions]] [[binding]] open safari browser",0.01960998773574829,0.22536134719848633,1,1,1,693,"Failed"
"[[vehicle]] driver historyhas [[updated]] ryxdiscod","[[van]] driver historyhas [[moderne]] ryxdiscod",0.15678715705871582,0.692608654499054,1,0,1,67,"Successful"
"goldviking inviting friend reply yes see stop send stop frnd","goldviking inviting friend reply yes see stop send stop frnd",0.5225563645362854,0.5225563645362854,0,0,1,1,"Skipped"
"todays vodafone [[numbers]] [[ending]] [[selected]] [[receive]] [[rs]] [[award]] [[match]] please [[call]] [[quoting]] [[claim]] [[code]] [[standard]] [[rates]] [[apply]]","todays vodafone [[naming]] [[finalize]] [[took]] [[earned]] [[s]] [[primes]] [[pairs]] please [[convening]] [[commas]] [[requisitions]] [[coding]] [[routines]] [[rhythm]] [[executes]]",0.022515475749969482,0.18327981233596802,1,1,1,429,"Failed"
"[[win]] £ [[cash]] [[prize]] [[prize]] worth £","[[getting]] £ [[exchequer]] [[nobel]] [[finalists]] worth £",0.14947772026062012,0.45222872495651245,1,1,1,176,"Failed"
"gent trying [[contact]] [[last]] [[weekends]] [[draw]] [[shows]] £ [[prize]] [[guaranteed]] [[call]] [[claim]] [[code]] k [[valid]] [[hrs]] ppm","gent trying [[ties]] [[latter]] [[mondays]] [[draws]] [[prove]] £ [[primes]] [[ensures]] [[appealed]] [[say]] [[coding]] k [[justifiable]] [[h]] ppm",0.01934957504272461,0.46848851442337036,1,1,1,367,"Failed"
"[[receive]] [[tax]] [[refund]] [[process]] due [[incomplete]] [[personal]] [[information]] [[order]] [[expedite]] [[processing]] [[refund]] [[avoid]] [[potential]] [[delays]] penalties please [[provide]] accurate [[personal]] [[information]] immediately ensure precise payment deadline november please reply exit message reopen message activate link copy link open safari browser thank cooperation sincerely","[[solicit]] [[levi]] [[refunded]] [[methods]] due [[imperfect]] [[movable]] [[detail]] [[ordinances]] [[simplifying]] [[metamorphosis]] [[homecoming]] [[avoids]] [[conceivable]] [[procrastinate]] penalties please [[delivering]] accurate [[persona]] [[reporting]] immediately ensure precise payment deadline november please reply exit message reopen message activate link copy link open safari browser thank cooperation sincerely",0.01363992691040039,0.24569237232208252,1,1,1,1155,"Failed"
"[[nokia]] take part send nokia hgsuitelands rowwjhl","[[droid]] take part send nokia hgsuitelands rowwjhl",0.446188747882843,0.6102935075759888,1,0,1,15,"Successful"
"please [[call]] immediately [[urgent]] [[message]] waiting","please [[dawa]] immediately [[forthwith]] [[embassies]] waiting",0.010104656219482422,0.7352361679077148,1,0,1,121,"Successful"
