"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"mobile [[number]] [[gained]] [[sum]] us mmlref detail [[send]] name address number email megaresultusacom","mobile [[series]] [[gets]] [[somme]] us mmlref detail [[shipping]] name address number email megaresultusacom",4.83393669128418e-05,0.506040096282959,1,0,1,149,"Successful"
"guess [[somebody]] know [[secretly]] fancies wan [[na]] [[find]] give us [[call]] [[landline]] dateboxessexcmxn pmin","guess [[dont]] know [[stealthily]] fancies wan [[luo]] [[get]] give us [[telephoning]] [[static]] dateboxessexcmxn pmin",4.26173210144043e-05,0.701328694820404,1,0,1,146,"Successful"
"[[urgent]] call [[landline]] [[complimentary]] [[ibiza]] [[holiday]] [[cash]] [[await]] [[collection]] [[sae]] tcs po [[box]] sk wp ppm","[[punctual]] call [[fixed]] [[ancillary]] [[pacha]] [[feasts]] [[teller]] [[looks]] [[specimens]] [[tig]] tcs po [[sidebar]] sk wp ppm",1.1920928955078125e-05,0.1797822117805481,1,1,1,250,"Failed"
"reply [[name]] address [[receive]] [[post]] [[weeks]] [[completely]] [[free]] [[accommodation]] various [[global]] locations [[php]]","reply [[denomination]] address [[perceive]] [[station]] [[weekend]] [[pretty]] [[frei]] [[hosting]] various [[worid]] locations [[asp]]",2.568960189819336e-05,0.585371196269989,1,0,1,217,"Successful"
"dont [[prize]] go another customer [[tc]] pmin [[polo]] ltd [[suite]] [[london]] wj hl please call back busy","dont [[bounties]] go another customer [[cr]] pmin [[jacket]] ltd [[serial]] [[uk]] wj hl please call back busy",0.00014358758926391602,0.5849151611328125,1,0,1,90,"Successful"
"[[saturday]] september [[chase]] account [[review]] [[verification]] please visit [[link]] bitlyhmasag","[[hoy]] september [[quest]] account [[rethink]] [[policed]] please visit [[nol]] bitlyhmasag",2.2351741790771484e-05,0.9896288514137268,1,0,1,160,"Successful"
"[[sorry]] [[delivery]] [[address]] [[wrong]] [[package]] [[stopped]] please [[update]] [[address]] rebrandlyusp","[[apologised]] [[offered]] [[contend]] [[fallacious]] [[packages]] [[discontinued]] please [[refresh]] [[resolutions]] rebrandlyusp",6.836652755737305e-05,0.03644979000091553,1,1,1,294,"Failed"
"bmo noticed unusual activites [[online]] account [[required]] [[verify]] account [[details]]","bmo noticed unusual activites [[lnternet]] account [[must]] [[test]] account [[lucidity]]",9.679794311523438e-05,0.5281049013137817,1,0,1,135,"Successful"
"[[new]] [[voicemail]] please call","[[newest]] [[mailroom]] please call",6.031990051269531e-05,0.859726071357727,1,0,1,34,"Successful"
"[[want]] [[latest]] [[video]] [[handset]] anytime [[network]] [[mins]] [[half]] [[price]] [[line]] rental [[reply]] [[call]] [[delivery]] [[tomorrow]]","[[wish]] [[update]] [[movies]] [[speakerphone]] anytime [[grids]] [[minutes]] [[midway]] [[charge]] [[lineup]] rental [[answers]] [[called]] [[provide]] [[tommorrow]]",0.0005939602851867676,0.6125911474227905,1,0,1,271,"Successful"
"[[urgent]] [[nd]] [[attempt]] [[contact]] u £ [[prize]] [[yesterday]] still [[awaiting]] [[collection]] claim [[call]]","[[quick]] [[ind]] [[tried]] [[touching]] u £ [[prices]] [[wed]] still [[hopes]] [[harvests]] claim [[asks]]",1.3053417205810547e-05,0.9708136916160583,1,0,1,275,"Successful"
"[[endless]] [[fun]] [[sultry]] girls [[explicit]] game ever tinyurlcomkelseygame","[[untold]] [[hoot]] [[sweltering]] girls [[unambiguous]] game ever tinyurlcomkelseygame",0.00020772218704223633,0.9131721258163452,1,0,1,97,"Successful"
"[[mobile]] [[number]] [[crore]] samsung uk [[award]] [[receive]] prizesend ur name mobilenaddres agesex occup to�samsungzoneukoutlookcom","[[notepad]] [[somme]] [[haryana]] samsung uk [[dealership]] [[have]] prizesend ur name mobilenaddres agesex occup to�samsungzoneukoutlookcom",1.9788742065429688e-05,0.702984094619751,1,0,1,155,"Successful"
"[[receive]] [[tax]] [[refund]] [[process]] due [[incomplete]] [[personal]] [[information]] please confirm information link please reply exit sms open sms [[activation]] [[link]] copy [[link]] open safari [[browser]] [[mission]] [[irs]] help [[american]] [[taxpayers]] [[understand]] [[meet]] [[tax]] [[obligations]] [[provide]] [[highest]] [[quality]] [[service]]","[[enjoy]] [[charging]] [[payback]] [[cure]] due [[sketchy]] [[moveable]] [[informations]] please confirm information link please reply exit sms open sms [[trigger]] [[fasten]] copy [[tie]] open safari [[marine]] [[remit]] [[pri]] help [[usa]] [[payers]] [[knowledge]] [[answer]] [[taxes]] [[liability]] [[introduces]] [[bigger]] [[caliber]] [[serve]]",2.193450927734375e-05,0.5145320892333984,1,0,1,607,"Successful"
"[[alert]] [[mo]] bedbth home available [[near]] [[credit]] [[check]] [[required]] click whatseehereinfofdowou","[[circumspect]] [[mok]] bedbth home available [[around]] [[refinance]] [[checkups]] [[ask]] click whatseehereinfofdowou",6.008148193359375e-05,0.9753609895706177,1,0,1,144,"Successful"
"delivery service provide correct delivery address avoid [[delay]] [[receiving]] [[goods]] due [[incomplete]] door number please take steps [[reactivate]] [[replying]] please keep us [[updated]]","delivery service provide correct delivery address avoid [[slowed]] [[escrow]] [[supplies]] due [[insufficient]] door number please take steps [[reboot]] [[responded]] please keep us [[newest]]",9.799003601074219e-05,0.6681622266769409,1,0,1,211,"Successful"
